id;nombre;puntos;defecto;grado
1;10H;[[0.327900000000227, 0.9411], [2.53019999999924, 8.5614], [4.07510000000002, 13.1942], [6.533999999999651, 18.5066], [9.511200000000827, 24.4615], [11.82079999999951, 28.3512], [17.48739999999998, 36.9342], [22.14099999999962, 43.2967], [28.66419999999925, 51.2742], [33.40979999999945, 56.5871], [38.70010000000002, 62.2007], [43.41409999999996, 66.3434], [49.10889999999927, 70.6126], [54.10900000000038, 73.4595], [59.12750000000051, 76.0795], [64.01809999999932, 78.348], [68.6849000000002, 80.0733], [73.52340000000004, 81.5502], [78.54190000000017, 82.8282], [86.18139999999948, 84.3619], [92.96620000000075, 85.4869], [97.6177000000007, 85.8877], [100.1640000000007, 85.8877]];Scaling/Crazing;High
2;10L;[[0.327900000000227, 0.9411], [8.988199999999779, 3.8425], [18.69520000000011, 6.8865], [26.83209999999963, 8.6463], [38.36009999999987, 10.7468], [56.28009999999995, 12.848], [75.1299999999992, 14.5688], [97.47090000000026, 16.1358], [100.2687999999998, 16.1358]];Scaling/Crazing;Low
3;10M;[[0.327900000000227, 0.9411], [8.988199999999779, 3.8425], [18.69520000000011, 6.8865], [26.83209999999963, 8.6463], [38.36009999999987, 10.7468], [56.28009999999995, 12.848], [75.1299999999992, 14.5688], [97.47090000000026, 16.1358], [100.2687999999998, 16.1358]];Scaling/Crazing;Medium
4;11H;[[0.64259999999922, 0], [2.359200000000783, 7.1129], [3.786200000000463, 12.0918], [6.183600000000297, 18.0208], [9.093199999999342, 23.4901], [11.59720000000016, 27.9846], [16.05869999999959, 34.0326], [22.35939999999937, 40.8014], [29.02540000000045, 47.2302], [36.21650000000045, 53.1588], [42.63110000000052, 57.8774], [47.86260000000038, 61.5187], [57.17770000000019, 67.3355], [73.03570000000036, 76.04], [82.08820000000014, 80.5643], [91.91320000000087, 85.1234], [99.9377000000004, 88.4479]];Faulting;High
5;11L;[[0.64259999999922, 0], [4.48279999999977, 3.9029], [8.993200000000797, 7.8428], [18.94880000000012, 13.651], [27.85989999999947, 18.3322], [37.9455999999991, 22.5635], [48.53390000000036, 26.2823], [63.76310000000012, 30.5306], [77.14700000000084, 33.6084], [88.40589999999975, 35.6626], [97.35590000000047, 36.8527], [100.1486000000004, 37.1052]];Faulting;Low
6;11M;[[0.64259999999922, 0], [2.265900000000329, 3.8118], [5.137800000000425, 8.2634], [9.133499999999913, 13.3391], [14.81910000000062, 18.8461], [19.59870000000046, 22.5535], [26.28379999999925, 27.1094], [34.51430000000073, 32.2077], [45.41480000000047, 37.593], [58.27299999999923, 43.0636], [71.50009999999929, 47.9783], [83.48769999999968, 51.5817], [92.49309999999969, 53.9076], [100.0105000000003, 55.7532]];Faulting;Medium
7;12H;[[0.5713999999998123, 1.5103], [1.047499999999673, 10.5351], [1.701799999999821, 17.0751], [2.96309999999994, 23.6337], [4.137499999999818, 27.957], [5.772899999999936, 32.2933], [8.178899999999885, 36.7884], [11.30469999999968, 41.2652], [15.60120000000006, 46.4474], [22.45089999999982, 53.8445], [31.39429999999993, 62.3004], [41.76890000000003, 70.9274], [51.58770000000004, 77.8542], [60.23980000000029, 83.5909], [72.15939999999955, 90.5092], [81.97999999999956, 96.0603], [88.28150000000005, 99.2532]];Shattered Slab;High
8;12L;[[0.5713999999998123, 1.5103], [2.425799999999981, 5.5779], [4.228699999999662, 9.4138], [6.829999999999927, 13.5329], [9.236499999999978, 16.6769], [11.8139000000001, 19.5287], [16.70520000000033, 24.0189], [21.86930000000029, 27.9146], [27.84649999999965, 31.6901], [32.03870000000006, 33.9948], [37.87860000000001, 36.9553], [47.27610000000004, 41.2947], [55.22609999999986, 44.2134], [63.08809999999994, 47.0711], [67.85300000000007, 48.6323], [77.44620000000032, 51.7631], [85.65459999999985, 54.3963], [92.47789999999986, 56.4477], [99.24799999999959, 58.2061]];Shattered Slab;Low
9;12M;[[0.5713999999998123, 1.5103], [1.973899999999958, 9.5892], [2.919600000000173, 13.9648], [4.405800000000454, 18.5024], [6.596999999999753, 22.4039], [9.055999999999585, 26.4284], [12.64980000000014, 30.7499], [15.67699999999968, 34.2763], [19.0047999999997, 37.4321], [26.34720000000016, 44.0075], [32.17479999999978, 48.706], [37.73639999999978, 52.7546], [42.76689999999962, 56.2167], [46.89789999999994, 58.7259], [52.42320000000018, 61.9956], [61.96699999999964, 67.0317], [71.60760000000028, 71.6853], [81.6823000000004, 76.1184], [92.32830000000013, 80.4549], [98.79939999999988, 82.8146]];Shattered Slab;Medium
10;13M;[[0.2538999999997031, 1.0535], [8.944900000000416, 1.7426], [19.59020000000055, 3.0026], [28.48279999999977, 4.3454], [40.9994999999999, 6.2238], [52.94909999999982, 8.1701], [61.3742000000002, 9.6143], [70.76440000000002, 11.0893], [81.02700000000004, 12.3761], [91.7569999999996, 13.3951], [100.1046999999999, 14.116]];Shrinkage Cracking;Medium
11;14H;[[0.1718999999993684, 1.0955], [1.365400000000591, 5.1108], [3.268700000000536, 9.789], [5.563000000000102, 14.5036], [8.139100000000326, 18.1777], [11.5635000000002, 22.1659], [15.86750000000029, 25.997], [23.63060000000041, 31.1392], [28.5020999999997, 33.4474], [37.68130000000019, 37.347], [48.25300000000061, 40.8292], [57.27959999999985, 43.4894], [68.33189999999922, 45.9177], [78.21090000000004, 47.7748], [82.15999999999985, 48.3559], [92.34720000000016, 49.5], [98.44499999999971, 50.0408], [100.4835999999996, 50.3233]];Join Spalling;High
12;14L;[[0.1718999999993684, 1.0955], [11.97069999999985, 4.0915], [31.8099000000002, 8.0385], [53.09209999999985, 11.4206], [69.02679999999964, 12.8319], [87.87589999999909, 13.3809], [100.3346999999994, 13.4514]];Join Spalling;Low
13;14M;[[0.1718999999993684, 1.0955], [4.815399999999499, 4.4036], [8.866799999999785, 7.1744], [16.63459999999941, 11.8025], [26.48199999999997, 16.8418], [36.5648000000001, 21.0437], [49.00460000000021, 25.8047], [53.84799999999996, 27.3576], [58.32589999999982, 28.6973], [68.64869999999974, 31.4832], [73.5562000000009, 32.3722], [81.96010000000024, 34.0278], [88.66560000000027, 35.1838], [93.32129999999961, 35.53], [100.1599000000006, 35.6388]];Join Spalling;Medium
14;15H;[[0.1376999999993131, 0.7369], [9.408699999999953, 8.8241], [16.92710000000079, 14.2786], [23.83530000000064, 18.72], [32.26720000000023, 23.4024], [42.83660000000054, 28.6209], [52.59640000000036, 32.9366], [63.80539999999928, 36.8547], [76.45570000000043, 41.206], [82.92170000000078, 42.8492], [93.20219999999972, 44.8989], [100.0416999999998, 45.5445]];Corner Spalling;High
15;15L;[[0.1376999999993131, 0.7369], [8.869300000000294, 3.6461], [14.59109999999964, 5.5636], [22.42970000000059, 7.9108], [40.80220000000008, 12.126], [47.99539999999979, 13.2911], [64.0606000000007, 15.7624], [78.38719999999921, 17.4723], [87.71249999999964, 18.6272], [96.1255000000001, 19.2121], [100.1442999999999, 19.2864]];Corner Spalling;Low
16;15M;[[0.1376999999993131, 0.7369], [5.592500000000655, 4.7562], [12.01499999999942, 8.3952], [18.74669999999969, 11.6566], [25.71869999999944, 14.3343], [37.71980000000076, 17.8324], [48.85980000000018, 20.5017], [58.36759999999958, 22.2707], [67.88620000000083, 24.1013], [82.38589999999931, 26.2666], [92.8801999999996, 27.5644], [98.54409999999916, 28.127], [100.1816999999992, 28.2722]];Corner Spalling;Medium
17;1L;[[0, 0], [2.2631, 6.3586], [4.5507, 11.9481], [7.2619, 16.9025], [10.6841, 22.1841], [15.0071, 27.4464], [18.5596, 31.3396], [23.9954, 37.2864], [29.0597, 42.1695], [34.7484, 48.1141], [45.1787, 58.647], [62.4947, 76.6343], [75.2418, 89.7239], [81.1988, 95.9713], [83.5744, 98.5217]];Blowup;Low
18;1M;[[0, 0], [1.2601, 12.6614], [2.5068, 22.4319], [5.3519, 31.6908], [7.2329, 37.8124], [11.2405, 43], [16.8412, 49.1379], [28.5261, 61.4814], [38.6843, 72.1755], [50.8757, 85.1606], [59.8576, 94.8577], [63.4094, 98.5333]];Blowup;Medium
19;2H;[[0, 0], [4.115400000000022, 10.5952], [6.884199999999964, 16.3172], [10.08870000000002, 22.3189], [13.66899999999998, 27.7728], [16.84230000000002, 31.6911], [20.18190000000004, 35.2161], [24.63010000000008, 39.631], [30.11200000000008, 44.5156], [36.56529999999998, 50.1923], [43.62930000000006, 55.6393], [53.42000000000007, 62.5559], [63.76340000000005, 69.8219], [75.23360000000002, 77.0577], [88.20830000000001, 84.253], [94.85010000000011, 87.2036], [99.95170000000007, 89.5769]];Corner Break;High
20;2L;[[0, 0], [3.871999999999957, 3.2698], [12.70330000000001, 10.1663], [24.26039999999989, 17.3677], [37.22610000000009, 23.6626], [50.37969999999996, 28.7918], [62.0603000000001, 33.1313], [73.66470000000004, 36.6859], [86.08169999999996, 39.1724], [94.78500000000008, 40.3417], [100.2578000000001, 40.9108]];Corner Break;Low
21;2M;[[0, 0], [3.607899999999972, 6.4634], [7.667100000000005, 12.0326], [13.9751, 18.6055], [19.83690000000001, 23.8103], [28.71340000000009, 30.6375], [38.71100000000001, 37.0023], [49.82060000000001, 43.7099], [63.45270000000005, 51.4438], [76.05320000000006, 58.3719], [87.52070000000003, 64.5466], [97.24340000000007, 69.7312], [100.0985000000001, 71.1278]];Corner Break;Medium
22;3H;[[0, 0], [2.279399999999896, 9.4284], [4.587399999999889, 15.2344], [7.232700000000023, 20.8337], [9.847700000000032, 25.5625], [12.69029999999998, 30.1488], [15.88750000000005, 34.786], [19.24540000000002, 38.5704], [25.27089999999998, 45.4075], [29.30999999999995, 49.4448], [33.3882000000001, 53.3284], [38.03009999999995, 57.1645], [43.43959999999993, 61.2198], [51.15169999999989, 66.2981], [57.26360000000022, 69.7065], [66.47429999999986, 74.6387], [71.85640000000012, 76.8765], [80.44570000000022, 79.9088], [92.19210000000021, 83.535], [99.42900000000009, 85.0694]];Linear Cracking;High
23;3L;[[0, 0], [6.113800000000083, 5.6508], [12.33789999999999, 9.6863], [18.37390000000005, 12.6514], [27.87010000000009, 16.29], [39.01199999999994, 18.8993], [43.20849999999996, 19.5896], [54.10469999999987, 21.1158], [63.44619999999986, 21.9178], [77.72839999999997, 22.4804], [90.01639999999998, 22.7], [97.41400000000021, 22.7], [100.1513, 22.7298]];Linear Cracking;Low
24;3M;[[0, 0], [3.009600000000091, 7.292], [6.504200000000083, 13.8285], [9.415299999999888, 17.8512], [14.01700000000005, 22.7622], [20.2847999999999, 28.3091], [26.47810000000004, 32.8396], [34.13229999999999, 37.4503], [43.54340000000002, 42.2229], [54.02509999999984, 46.7151], [63.19079999999985, 50.0813], [71.38430000000017, 52.8228], [86.4023000000002, 56.4386], [96.1581000000001, 58.1043], [99.75, 58.5313]];Linear Cracking;Medium
25;4H;[[0.1359000000002197, 1.1342], [2.145100000000184, 9.4672], [4.029300000000148, 15.6353], [6.125500000000102, 21.1586], [9.228900000000067, 27.0834], [12.90920000000006, 32.8159], [15.91310000000021, 36.8995], [21.79390000000012, 43.1358], [27.33719999999994, 48.6611], [32.80279999999993, 53.3028], [43.58890000000019, 61.2148], [54.57819999999992, 68.5038], [63.31190000000015, 73.3476], [71.78060000000005, 77.5103], [78.65329999999994, 80.6998], [91.58599999999979, 85.1029], [100.2668999999996, 87.1101]];Durability Cracking;High
26;4L;[[0.1359000000002197, 1.1342], [7.195299999999861, 4.8368], [14.04629999999997, 8.1182], [20.55969999999979, 10.4144], [27.9380000000001, 12.8728], [33.58399999999983, 14.3177], [42.44149999999991, 16.3896], [49.32630000000017, 17.7769], [60.03490000000011, 19.4411], [71.40970000000016, 20.6107], [80.64870000000019, 21.1291], [91.08280000000013, 21.4795], [100.0496999999996, 21.6349]];Durability Cracking;Low
27;4M;[[0.1359000000002197, 1.1342], [2.297000000000025, 6.0683], [4.192199999999957, 9.8656], [7.374499999999898, 14.0598], [9.290599999999813, 16.1779], [15.51429999999982, 20.7663], [19.9989999999998, 23.8415], [27.6550000000002, 27.9512], [34.23340000000007, 31.0122], [47.4405999999999, 36.5675], [55.2530999999999, 39.3541], [65.42950000000019, 42.1126], [78.71050000000014, 45.2528], [91.87170000000015, 47.5033], [100.1777000000002, 48.5812]];Durability Cracking;Medium
28;6H;[[0.02550000000019281, 1.6665], [2.312800000000152, 4.1251], [7.29970000000003, 8.4235], [14.71900000000005, 13.872], [20.69729999999981, 17.1236], [24.79260000000022, 19.2252], [34.36979999999994, 23.3163], [46.64840000000004, 28.3074], [57.05479999999989, 31.7048], [63.52109999999993, 33.6328], [72.25790000000006, 35.6223], [81.85750000000007, 37.487], [89.41289999999981, 38.6013], [95.77160000000003, 39.1439], [100.1358, 39.3346]];Small Patch;High
29;6L;[[0, 0.7751], [19.07569999999987, 2.588], [33.44909999999982, 4.7921], [46.55040000000008, 6.5943], [58.17500000000018, 7.8503], [72.62480000000005, 8.7633], [89.50739999999996, 9.4287], [100.0364, 9.4287]];Small Patch;Low
30;6M;[[0, 0.7751], [6.13819999999987, 3.9075], [14.92790000000014, 7.8802], [24.63479999999981, 11.2036], [31.93420000000015, 12.999], [38.57900000000018, 14.5727], [49.3128999999999, 16.6954], [58.46379999999999, 17.969], [69.00630000000001, 19.5321], [79.62829999999985, 20.5067], [88.94290000000001, 20.9375], [96.61040000000003, 21.0039], [100.2321000000002, 21.0039]];Small Patch;Medium
31;7H;[[0.05419999999958236, 1.2534], [1.571700000000419, 7.8637], [2.904499999999643, 13.1369], [4.570399999999609, 18.0214], [6.266999999999825, 22.0878], [11.17820000000029, 30.8614], [15.67649999999958, 37.2837], [20.93599999999969, 43.098], [26.69290000000001, 48.6818], [32.92770000000019, 54.0783], [42.23139999999967, 61.1173], [51.99169999999958, 67.7775], [62.41330000000016, 73.7393], [71.19970000000012, 78.3426], [78.34820000000036, 81.5176], [86.22000000000025, 84.3377], [92.63940000000002, 86.4334], [99.95399999999972, 88.0698]];Patching/Utility Cut;High
32;7L;[[0.05419999999958236, 1.2534], [7.50839999999971, 5.1686], [13.67190000000028, 8.1705], [21.42979999999989, 11.3238], [29.70259999999962, 13.8657], [41.80680000000029, 16.8605], [48.55419999999958, 18.1704], [53.90629999999965, 19.1816], [59.16049999999996, 19.9971], [67.97810000000027, 20.992], [81.08010000000013, 21.8329], [91.82690000000002, 22.2996], [100.0650999999998, 22.2996]];Patching/Utility Cut;Low
33;7M;[[0.05419999999958236, 1.2534], [2.787299999999959, 7.9344], [4.091800000000148, 10.5628], [6.986299999999574, 14.2635], [8.736499999999978, 16.1811], [12.97729999999956, 19.3772], [17.85760000000028, 22.876], [25.34439999999995, 27.2756], [32.72360000000026, 30.8786], [40.78279999999995, 34.4815], [55.18549999999959, 40.0727], [67.93189999999959, 43.3009], [72.77620000000024, 44.4341], [83.4387999999999, 46.8444], [93.71950000000015, 48.5307], [100.0411000000004, 49.4579]];Patching/Utility Cut;Medium
34;8M;[[0, 0], [3.112500000000182, 3.0047], [8.064000000000306, 6.1461], [12.38240000000042, 8.632], [18.78110000000015, 11.6792], [26.33910000000014, 14.5464], [33.61179999999968, 16.9177], [42.03489999999965, 19.034], [45.9351999999999, 19.9004], [54.1827000000003, 21.3598], [62.49200000000019, 22.3155], [68.79560000000038, 22.6423], [78.48869999999988, 22.8919], [99.79089999999997, 23.2311]];Popouts;Medium
35;9M;[[-0.07930000000033033, 0.9219], [2.153500000000349, 3.0925], [9.648000000000138, 9.8356], [14.52530000000024, 13.9721], [19.32870000000003, 17.9117], [24.05869999999959, 21.3689], [31.47850000000017, 26.8024], [39.3797999999997, 31.8082], [49.70510000000013, 37.5673], [59.3139000000001, 42.2159], [69.47140000000036, 46.063], [77.29939999999988, 48.4522], [84.1239999999998, 50.1575], [91.47369999999955, 50.9541], [96.6854000000003, 51.1641], [100.4475000000002, 51.1641]];Pumping;Medium
36;Q1;[[0, 0], [4.955200000000332, 4.997919380518165], [13.08619999999974, 13.12879939209727], [20.89259999999922, 21.01326168765378], [27.01809999999932, 27.01313504125054], [33.13709999999992, 33.12174337820235], [37.33909999999923, 37.25774352294109], [43.89320000000043, 43.87519901577652], [49.64019999999982, 49.38965479808945], [55.50779999999941, 55.09625126646404], [61.38240000000042, 60.93193660442901], [69.54039999999986, 69.00392603850051], [77.5573000000004, 77.03158923143727], [81.50170000000071, 81.07224272687799], [85.46579999999994, 85.09073310175135], [91.41309999999976, 91.16858445505864], [97.26209999999992, 97.20147633521493], [100.7140999999992, 100.8084563612679]];Corrected;Out
37;Q2;[[10.60039999999935, 7.888985381386598], [13.79999999999927, 10.66453177015487], [16.99959999999919, 13.58110797510494], [20.69340000000011, 16.89761542915038], [24.28789999999935, 20.1061115935736], [27.48749999999927, 22.90508756694167], [35.05420000000049, 29.44528875379939], [40.98379999999997, 34.65588363004777], [48.38470000000052, 41.24104429005645], [57.3690000000006, 48.83901432913591], [71.28800000000047, 61.0550550007237], [78.71939999999995, 67.49791938051818], [87.08270000000084, 74.78868143001883], [92.45910000000003, 79.42041178173397], [97.42170000000078, 83.49209364596904], [100.7659999999996, 85.82709147488784], [105.6344000000008, 89.15743957157332], [109.1761999999999, 91.51179620784484], [115.4163000000008, 95.3054892169634], [121.1054000000004, 98.26367781155017], [126.4691999999995, 100.6886850484875]];Corrected;Out
38;Q3;[[19.63750000000073, 14.22049138804458], [25.32580000000053, 19.1154653350702], [31.45370000000003, 23.81169489072225], [40.98029999999926, 31.08888768273267], [59.39550000000054, 45.06169489072225], [69.40879999999925, 52.60032204371111], [80.99339999999938, 61.50790635403098], [91.23810000000049, 69.30869156173108], [98.85909999999967, 75.19232160949485], [105.0540000000001, 79.62521710811984], [110.9207000000006, 83.49797365754814], [121.3853999999992, 89.80623100303951], [128.8984, 93.64777826024027], [135.6761999999999, 96.94384136633377], [142.8762999999999, 99.57229700390795], [145.5148000000008, 100.7046063106094]];Corrected;Out
39;Q4;[[24.39899999999943, 16.75531914893617], [32.96789999999964, 22.94570487769576], [38.90719999999965, 27.25023520046317], [44.21179999999913, 31.06283470835142], [61.50989999999911, 43.50521059487625], [75.51939999999922, 53.5081053698075], [89.54629999999997, 62.62917933130699], [98.28770000000077, 67.8420357504704], [111.5848999999998, 74.78578665508758], [126.2518, 82.22517730496453], [139.8230000000003, 88.21844695324938], [152.3768, 93.25426979302361], [163.2108000000007, 97.14493776233897], [170.7430999999997, 99.08497973657549], [176.4950000000008, 100.6535859024461]];Corrected;Out
40;Q6;[[42.4382999999998, 28.74819076566797], [47.15890000000036, 31.76119916051527], [56.32239999999911, 37.82919018671299], [69.66979999999967, 46.50727312201477], [79.15730000000076, 52.70073454913882], [93.19290000000001, 61.30292010421191], [105.2258000000002, 67.62185193226227], [123.3482000000004, 76.59348313793602], [137.2183999999997, 82.99283543204517], [146.9184000000005, 87.0698545375597], [158.6381000000001, 91.51975683890578], [171.1003000000001, 95.22307859313939], [180.3117999999995, 97.29872268056158]];Corrected;Out
41;Q8;[[48.22359999999935, 30.92976552323057], [57.00790000000052, 35.7191706469822], [62.90140000000065, 39.19308148791432], [70.73569999999927, 43.68016355478362], [79.6278999999995, 48.59684831379361], [84.91519999999946, 51.72067231147778], [87.10820000000058, 52.99735851787524], [101.2620999999999, 60.73192574902301], [114.6177000000007, 67.33888768273266], [129.0571999999993, 73.8731183962947], [145.3161, 80.21765089014329], [155.5900000000001, 83.9918041684759], [169.2975999999999, 88.50539151830947], [180.2337000000007, 91.56824431900421]];Corrected;Out
